Position insignia,Position,Photo,Incumbent,Service branch
,Chairman of the Joint Chiefs of Staff (CJCS),,GeneralMark A. Milley,U.S. Army
,Vice Chairman of the Joint Chiefs of Staff (VJCS),,AdmiralChristopher W. Grady,U.S. Navy
,"Commander, U.S. Africa Command (USAFRICOM)",,GeneralStephen J. Townsend,U.S. Army
,"Commander, U.S. Central Command (USCENTCOM)",,GeneralKenneth F. McKenzie Jr.Retiring[1],U.S. Marine Corps
,"Commander, U.S. Cyber Command (USCYBERCOM),Director, National Security Agency (NSA) andChief, Central Security Service (CSS)",,GeneralPaul M. Nakasone,U.S. Army
,"Commander, U.S. European Command (USEUCOM) andSupreme Allied Commander Europe (SACEUR)",,GeneralTod D. Wolters,U.S. Air Force
,"Commander, U.S. Indo-Pacific Command (USINDOPACOM)",,AdmiralJohn C. Aquilino,U.S. Navy
,"Commander, U.S. Northern Command (USNORTHCOM) andCommander, North American Aerospace Defense Command (NORAD)",,GeneralGlen D. VanHerck,U.S. Air Force
,"Commander, U.S. Southern Command (USSOUTHCOM)",,GeneralLaura J. Richardson,U.S. Army
,"Commander, U.S. Space Command (USSPACECOM)",,GeneralJames H. Dickinson,U.S. Army
,"Commander, U.S. Special Operations Command (USSOCOM)",,GeneralRichard D. Clarke Jr.,U.S. Army
,"Commander, U.S. Strategic Command (USSTRATCOM)",,AdmiralCharles A. Richard,U.S. Navy
,"Commander, U.S. Transportation Command (USTRANSCOM)",,GeneralJacqueline D. Van Ovost,U.S. Air Force
,Chief of the National Guard Bureau (CNGB),,GeneralDaniel R. Hokanson,U.S. Army
,"KoreaCommander, United Nations Command (UNC),Commander, ROK/U.S. Combined Forces Command (CFC) andCommander, U.S. Forces Korea (USFK)",,GeneralPaul J. LaCamera,U.S. Army
,Chief of Staff of the Army (CSA),,GeneralJames C. McConville,U.S. Army
,Vice Chief of Staff of the Army (VCSA),,GeneralJoseph M. Martin,U.S. Army
,"Commanding General, U.S. Army Forces Command (FORSCOM)",,GeneralMichael X. Garrett,U.S. Army
,"Commanding General, U.S. Army Materiel Command (AMC)",,GeneralEdward M. Daly,U.S. Army
,"Commanding General, U.S. Army Training and Doctrine Command (TRADOC) andChancellor, Army University (ArmyU)",,GeneralPaul E. Funk II,U.S. Army
,"Commanding General, U.S. Army Europe and Africa (USAREUR-AF)",,GeneralChristopher G. Cavoli,U.S. Army
,"Commanding General, U.S. Army Pacific (USARPAC)",,GeneralCharles A. Flynn,U.S. Army
,Commandant of the Marine Corps (CMC),,GeneralDavid H. Berger,U.S. Marine Corps
,Assistant Commandant of the Marine Corps (ACMC),,GeneralEric M. Smith,U.S. Marine Corps
,Chief of Naval Operations (CNO),,AdmiralMichael M. Gilday,U.S. Navy
,Vice Chief of Naval Operations (VCNO),,AdmiralWilliam K. Lescher,U.S. Navy
,"Director, Naval Nuclear Propulsion Program[2] andDeputy Administrator, NNSA's Naval Reactors[3]",,AdmiralJames F. Caldwell Jr.,U.S. Navy
,"Commander, U.S. Fleet Forces Command (USFF),Commander, U.S. Naval Forces Northern Command (NAVNORTH),Commander, U.S. Naval Forces Strategic Command (NAVSTRAT) andJoint Force Maritime Component Commander (JFMCC)",,AdmiralDaryl L. Caudle,U.S. Navy
,"Commander, U.S. Naval Forces Europe-Africa (CNE-CNA) andCommander, Allied Joint Force Command Naples (JFC Naples)",,AdmiralRobert P. Burke,U.S. Navy
,"Commander, U.S. Pacific Fleet (USPACFLT)",,AdmiralSamuel J. Paparo Jr.,U.S. Navy
,Chief of Staff of the Air Force (CSAF),,GeneralCharles Q. Brown Jr.,U.S. Air Force
,Vice Chief of Staff of the Air Force (VCSAF),,GeneralDavid W. Allvin,U.S. Air Force
,"Commander, Air Combat Command (ACC)",,GeneralMark D. Kelly,U.S. Air Force
,"Commander, Air Force Global Strike Command (AFGSC),Commander, Air Forces Strategic- Air, U.S. Strategic Command andJoint Force Air Component Commander (JFACC)",,GeneralAnthony J. Cotton,U.S. Air Force
,"Commander, Air Force Materiel Command (AFMC)",,GeneralArnold W. Bunch Jr.,U.S. Air Force
,"Commander, Air Mobility Command (AMC)",,GeneralMichael A. Minihan,U.S. Air Force
,"Commander, Pacific Air Forces (PACAF),Air Component Commander for U.S. Indo-Pacific Command andExecutive Director, Pacific Air Combat Operations Staff (PACOPS)",,GeneralKenneth S. Wilsbach,U.S. Air Force
,"Commander, U.S. Air Forces in Europe – Air Forces Africa (USAFE-AFAFRICA),Commander, Allied Air Command (AIRCOM) andDirector, Joint Air Power Competence Center (JAPCC)",,GeneralJeffrey L. Harrigian,U.S. Air Force
,Chief of Space Operations (CSO),,GeneralJohn W. Raymond,U.S. SpaceForce
,Vice Chief of Space Operations (VCSO),,GeneralDavid D. Thompson,U.S. SpaceForce
,Commandant of the Coast Guard,,AdmiralKarl L. Schultz,U.S. Coast Guard
,Vice Commandant of the Coast Guard,,AdmiralLinda L. Fagan,U.S. Coast Guard
,Assistant Secretary for Health (ASH)[4],,AdmiralRachel L. Levine,U.S. Public Health Service
